,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
46,Nigel Hayes,2017,,78.25,79.5,87.25,104.5,33.5,138,29,133.5,254,11.5,8.75,10,,11.81,3.27
47,Nigel Williams-Goss,2017,,73.5,75,79.25,99,34.5,133.5,27.5,126.5,190,5.6,8.75,9.25,,10.42,3.19
48,OG Anunoby,2017,,78.25,79.75,86.25,107.5,,,,,232,6.8,9.25,9.5,,,
49,Omer Yurtseven,2017,,82.5,83.75,85,108.5,31.5,140,26,134.5,248,7.6,9,10.5,,12.85,3.45
50,P.J. Dozier,2017,,77.25,78.75,83,101,39,140,34,135,201,6.1,8.5,9.5,,10.84,3.15
51,Peter Jok,2017,,76.25,77.75,80,102,31,133,26.5,128.5,202,11,8.25,9.5,,11.34,3.41
52,Rawle Alkins,2017,,74.5,75.75,80.75,99,40.5,139.5,31.5,130.5,223,11,8.75,10,,11.99,3.3
53,Semi Ojeleye,2017,,77.25,78.75,81.75,102,40.5,142.5,35,137,241,5.5,8.75,9.5,,10.58,3.16
54,Sindarius Thornwell,2017,,75.5,76.75,82,103,30.5,133.5,27,130,212,7.8,8.75,8.75,,11.48,3.36
55,Sviatoslav Mykhailiuk,2017,,78.5,79.5,77,100,33,133,27,127,220,11.4,8,9.25,,12.4,3.53
56,T.J. Leaf,2017,,80.75,81.75,83,107,34.5,141.5,29,136,222,6.8,8.5,9.5,,11.55,3.27
57,Terrance Ferguson,2017,,77.5,79,80.75,103,38,141,28.5,131.5,184,5.8,8.5,10,,11.16,3.32
58,Thomas Bryant,2017,,81.5,82.75,90,112.5,33,145.5,25.5,138,248,9.4,9.5,10.25,,11.42,3.37
59,Thomas Welsh,2017,,83.5,84.5,84,109.5,,,,,254,10.9,9,10.5,,,
60,Tony Bradley,2017,,81.25,82.75,89,112.5,27.5,140,24.5,137,249,12,9.5,9.5,,11.79,3.44
61,Tyler Dorsey,2017,,75,76.5,77.25,99.5,36,135.5,30.5,130,183,4.7,8.5,9.25,,10.55,3.16
62,Tyler Lydon,2017,,80.25,81.5,84,107.5,33.5,141,29.5,137,215,13.6,8.75,8.75,,11.68,3.46
63,V.J. Beachem,2017,,78.25,80,82.25,104.5,37,141.5,30,134.5,193,6.8,8.5,9,,11.18,3.26
64,Wesley Iwundu,2017,,77.5,78.75,85,105.5,36,141.5,31.5,137,193,4,8.75,9.5,,11.25,3.36
65,Zach Collins,2017,,82.25,84,85,111,,,,,232,8.9,8.75,9.25,,,
